time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068460861,-0.397437,0.0517812,-1.31434,-0.0140608,0.0217597,0.652337,-0.757486,0,0,0,0,0,0,0
1634068460961,-0.392178,0.0510458,-1.31047,-0.0208234,0.0333551,0.647158,-0.761341,0,0,0,0,0,0,0
1634068461061,-0.379393,0.049208,-1.30926,-0.0233032,0.0377466,0.643722,-0.763973,0,0,0,0,0,0,0
1634068461161,-0.358138,0.0461145,-1.30925,-0.0232521,0.0379957,0.641501,-0.765828,0,0,0,0,0,0,0
1634068461261,-0.327383,0.0416051,-1.30935,-0.0219175,0.0360398,0.640043,-0.767181,0,0,0,0,0,0,0
1634068461361,-0.289405,0.0360072,-1.30909,-0.0200508,0.0331324,0.639147,-0.768109,0,0,0,0,0,0,0
1634068461461,-0.244082,0.0292985,-1.30833,-0.0179908,0.0298688,0.638577,-0.768767,0,0,0,0,0,0,0
1634068461561,-0.190475,0.0213313,-1.30707,-0.0158759,0.0264987,0.638207,-0.769245,0,0,0,0,0,0,0
1634068461661,-0.132487,0.0126767,-1.3055,-0.0139355,0.023404,0.637982,-0.769569,0,0,0,0,0,0,0
1634068461761,-0.0693305,0.00320892,-1.3037,-0.0121546,0.0205668,0.63784,-0.769798,0,0,0,0,0,0,0
1634068461861,-0.00164597,-0.00698711,-1.30175,-0.0105501,0.018016,0.637752,-0.769959,0,0,0,0,0,0,0
1634068461961,0.0722168,-0.0181739,-1.29967,-0.0090824,0.0156863,0.637696,-0.770075,0,0,0,0,0,0,0
1634068462061,0.147386,-0.0296252,-1.29766,-0.00782905,0.0136985,0.637663,-0.770154,0,0,0,0,0,0,0
1634068462161,0.225526,-0.0416021,-1.29569,-0.00673114,0.0119568,0.637644,-0.770209,0,0,0,0,0,0,0
1634068462261,0.306239,-0.0540535,-1.29378,-0.00577445,0.0104358,0.637633,-0.770248,0,0,0,0,0,0,0
1634068462361,0.391722,-0.067331,-1.29191,-0.00492104,0.00907292,0.637626,-0.770277,0,0,0,0,0,0,0
1634068462461,0.476638,-0.0806129,-1.29019,-0.00420675,0.00792405,0.637623,-0.770296,0,0,0,0,0,0,0
1634068462561,0.563208,-0.0942482,-1.28858,-0.00359161,0.00692466,0.637622,-0.77031,0,0,0,0,0,0,0
1634068462661,0.653892,-0.108633,-1.28702,-0.00304908,0.00603088,0.637622,-0.77032,0,0,0,0,0,0,0
1634068462761,0.743154,-0.122892,-1.28561,-0.00260009,0.0052778,0.637622,-0.770327,0,0,0,0,0,0,0
1634068462861,0.833473,-0.137418,-1.2843,-0.00221788,0.00462229,0.637623,-0.770332,0,0,0,0,0,0,0
1634068462961,0.924701,-0.152188,-1.28308,-0.00168947,0.00416134,0.637624,-0.770335,0,0,0,0,0,0,0
1634068463061,1.0195,-0.167695,-1.28191,-0.000377651,0.00420759,0.637628,-0.770333,0,0,0,0,0,0,0
1634068463161,1.11214,-0.183214,-1.28088,0.00128792,0.00450495,0.637632,-0.770327,0,0,0,0,0,0,0
1634068463261,1.20524,-0.199473,-1.27996,0.00307249,0.00487042,0.637634,-0.770318,0,0,0,0,0,0,0
1634068463361,1.30147,-0.217323,-1.27915,0.00487494,0.00521563,0.637635,-0.770306,0,0,0,0,0,0,0
1634068463461,1.395,-0.23602,-1.2785,0.00649029,0.00546431,0.637634,-0.770293,0,0,0,0,0,0,0
1634068463561,1.48849,-0.256341,-1.278,0.00791509,0.00560525,0.637633,-0.77028,0,0,0,0,0,0,0
1634068463661,1.58178,-0.278515,-1.27762,0.00911524,0.00563399,0.637632,-0.770267,0,0,0,0,0,0,0
1634068463761,1.67756,-0.303489,-1.27735,0.0100997,0.00555348,0.637632,-0.770255,0,0,0,0,0,0,0
1634068463861,1.77005,-0.32993,-1.27718,0.0107977,0.00538302,0.637632,-0.770246,0,0,0,0,0,0,0
1634068463961,1.86196,-0.358624,-1.27708,0.011252,0.00513964,0.637634,-0.77024,0,0,0,0,0,0,0
1634068464061,1.95596,-0.390582,-1.27703,0.0114634,0.00483174,0.637637,-0.770236,0,0,0,0,0,0,0
1634068464161,2.04645,-0.423917,-1.27701,0.0114331,0.00449561,0.637641,-0.770235,0,0,0,0,0,0,0
1634068464261,2.13616,-0.459488,-1.27698,0.0111967,0.00413984,0.637646,-0.770237,0,0,0,0,0,0,0
1634068464361,2.22506,-0.497217,-1.27694,0.0107852,0.00377891,0.637652,-0.770239,0,0,0,0,0,0,0
1634068464461,2.3158,-0.538233,-1.27687,0.0102132,0.00341364,0.637659,-0.770244,0,0,0,0,0,0,0
1634068464561,2.40307,-0.579994,-1.27676,0.00957076,0.00307394,0.637665,-0.770248,0,0,0,0,0,0,0
1634068464661,2.48957,-0.623551,-1.27665,0.00961922,0.00279673,0.637667,-0.770247,0,0,0,0,0,0,0
1634068464761,2.57526,-0.668867,-1.27658,0.0102072,0.00255221,0.637667,-0.77024,0,0,0,0,0,0,0
1634068464861,2.66259,-0.717449,-1.27657,0.0110045,0.00228689,0.637666,-0.770231,0,0,0,0,0,0,0
1634068464961,2.74628,-0.76652,-1.27664,0.0117644,0.00200065,0.637664,-0.770222,0,0,0,0,0,0,0
1634068465061,2.82879,-0.817557,-1.27678,0.0124129,0.00168763,0.637664,-0.770213,0,0,0,0,0,0,0
1634068465161,2.91243,-0.872255,-1.27698,0.0129014,0.00134903,0.637664,-0.770205,0,0,0,0,0,0,0
1634068465261,2.99217,-0.927427,-1.27721,0.0131926,0.00101485,0.637665,-0.7702,0,0,0,0,0,0,0
